1	0	0	0	0	
1	0	1	0	0	
1	0	1	2	0	
1	0	3	3	0	
1	0	5	3	0	
0	0	8	3	0	
0	0	9	4	0	
0	0	11	5	0	
0	0	10	5	0	
2	0	10	6	0	
1	0	9	7	0	
1	0	10	7	0	
1	1	9	5	0	
1	1	10	5	0	
3	1	10	6	0	
3	1	10	6	0	
4	1	7	5	0	
4	1	7	5	0	
3	1	7	5	0	
4	1	8	5	0	
4	1	8	6	0	
5	2	7	9	0	
6	2	9	9	0	
7	2	10	9	0	
8	3	10	8	0	
8	2	11	10	0	
6	3	13	12	0	
7	4	13	11	0	
8	4	15	9	0	
6	4	16	8	0	
6	4	14	9	0	
7	4	11	11	0	
7	5	15	13	0	
10	5	13	14	0	
10	5	16	16	0	
10	4	17	18	0	
11	5	17	17	0	
10	6	15	18	0	
12	6	15	18	0	
13	7	15	18	0	
14	8	14	17	0	
16	8	14	18	0	
15	7	14	18	0	
13	7	17	19	0	
14	8	16	14	0	
11	7	15	13	0	
12	10	17	13	0	
14	7	20	13	0	
14	7	21	16	0	
13	8	21	15	0	
9	10	20	16	0	
10	8	22	17	0	
13	8	21	16	0	
15	10	21	15	0	
13	9	20	16	0	
13	9	22	17	0	
15	8	24	16	0	
12	9	25	13	0	
16	8	24	13	0	
17	9	22	12	0	
18	8	26	11	0	
19	10	27	11	0	
18	10	22	14	0	
19	9	21	15	0	
17	9	21	17	0	
17	8	21	14	0	
18	7	21	16	0	
18	7	20	15	0	
17	8	21	13	0	
19	10	20	15	0	
18	9	23	14	0	
16	9	22	14	0	
15	7	23	17	0	
19	7	23	16	0	
19	8	21	17	0	
17	10	20	18	0	
17	10	16	21	0	
19	14	17	22	0	
17	14	19	19	0	
20	13	21	20	0	
21	15	20	20	0	
22	16	19	19	0	
24	16	18	15	0	
22	16	17	15	0	
22	14	16	16	0	
21	14	16	15	0	
23	14	19	17	0	
24	14	21	19	0	
25	14	21	20	0	
24	13	20	17	0	
26	15	22	18	0	
25	17	22	17	0	
23	15	26	16	0	
19	15	25	18	0	
19	11	26	17	0	
21	10	27	19	0	
19	7	28	20	0	
18	7	29	21	0	
15	8	30	21	0	
14	7	31	20	0	
13	7	31	19	0	
14	10	30	22	0	
14	11	28	23	0	
15	12	31	24	0	
14	13	33	24	0	
10	10	32	19	0	
12	10	29	18	0	
12	12	25	17	0	
14	12	30	15	0	
15	13	26	14	0	
15	15	24	14	0	
16	17	25	18	0	
15	16	25	19	0	
18	15	26	20	0	
18	13	25	20	0	
16	14	23	22	0	
17	15	25	20	0	
15	15	21	24	0	
13	14	20	25	0	
14	17	19	26	0	
