1	0	0	0	0	
1	0	1	0	0	
1	0	3	0	0	
2	0	4	0	0	
2	1	3	0	0	
3	1	4	0	0	
3	2	3	0	0	
4	1	4	2	0	
4	1	4	2	0	
5	1	4	2	0	
4	1	3	2	0	
5	2	4	2	0	
4	4	5	2	0	
3	4	5	2	0	
3	5	6	2	0	
4	4	6	3	0	
5	5	6	3	0	
4	4	7	4	0	
7	6	5	4	0	
6	6	4	4	0	
7	7	5	4	0	
8	6	5	4	0	
6	7	5	5	0	
6	6	5	5	0	
7	6	5	5	0	
8	6	5	5	0	
8	4	5	4	0	
8	4	5	5	0	
8	6	5	3	0	
9	7	5	3	0	
11	7	6	4	0	
11	7	9	4	0	
10	7	11	4	0	
8	6	10	4	0	
7	5	10	5	0	
9	4	9	6	0	
10	6	8	6	0	
12	6	10	6	0	
11	6	9	7	0	
11	8	9	9	0	
12	8	11	9	0	
13	7	9	10	0	
14	9	10	11	0	
14	9	12	13	0	
15	9	11	14	0	
20	7	13	13	0	
17	7	14	15	0	
17	9	14	15	0	
16	10	12	12	0	
14	9	11	12	0	
15	8	10	12	0	
16	10	8	11	0	
16	9	9	12	0	
15	8	9	14	0	
15	10	10	14	0	
15	10	13	14	0	
14	11	17	14	0	
15	12	18	17	0	
15	11	16	17	0	
17	10	13	16	0	
16	12	12	20	0	
17	11	12	20	0	
18	11	10	18	0	
18	10	12	18	0	
21	8	14	17	0	
18	7	14	18	0	
17	10	15	17	0	
17	9	14	17	0	
20	9	13	16	0	
21	10	12	13	0	
20	9	10	12	0	
19	8	13	9	0	
21	10	16	9	0	
19	10	18	8	0	
21	10	21	9	0	
21	10	20	9	0	
22	8	23	9	0	
23	5	19	8	0	
19	5	16	8	0	
21	5	15	10	0	
20	5	15	8	0	
23	5	13	10	0	
28	4	13	11	0	
30	1	17	10	0	
31	1	18	11	0	
28	1	20	11	0	
30	1	24	12	0	
29	0	18	13	0	
26	0	23	13	0	
24	0	24	15	0	
23	1	28	13	0	
20	1	26	14	0	
16	1	27	19	0	
13	1	29	16	0	
13	2	29	17	0	
15	1	29	20	0	
16	1	25	20	0	
15	1	24	21	0	
13	1	22	23	0	
12	1	20	23	0	
9	2	17	24	0	
8	2	18	24	0	
9	2	17	24	0	
9	3	16	24	0	
9	4	14	24	0	
8	5	15	24	0	
8	4	15	26	0	
9	3	15	24	0	
10	5	17	26	0	
9	5	18	24	0	
10	4	21	21	0	
9	4	21	24	0	
6	2	19	26	0	
5	2	19	29	0	
6	2	18	25	0	
8	2	18	28	0	
8	2	18	29	0	
7	2	21	28	0	
6	1	25	31	0	
2	2	25	33	0	
